Iteration	Posterior	Likelihood	Prior	alpha_seq	branch_rates	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	omega	origin_time	p_inv	rates_seq[1]	rates_seq[2]	rates_seq[3]	rates_seq[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-87752.6	-87543.48	-209.1204	1.439053	0.001	0.001	0.02	0.00536118	0.128414	0.00266469	0.297114	0.213256	0.35319	0.48	0.1	67.3334	0.0687116	0.215752	0.578087	1.04663	2.15953	0.126503	0.40434	0.403193	0.065964	0.5	0.96
1	-76276.6	-76050.07	-226.5322	1.280776	0.001	0.001	0.01545334	0.00621565	0.148881	0.0030894	0.185088	0.247245	0.409482	0.48	0.08260913	68.0758	0.0687116	0.189387	0.547474	1.03446	2.22868	0.135927	0.359967	0.433228	0.070878	0.4954533	0.9688097
2	-67568.63	-67332.7	-235.925	0.9376171	0.001517121	0.001517121	0.01667255	0.00917186	0.132875	0.00324551	0.165189	0.324061	0.365458	0.4787808	0.07875098	67.63361	0.0687116	0.124345	0.457163	0.988842	2.42965	0.151553	0.401349	0.390801	0.0562961	0.4954533	0.9663489
3	-61066.34	-60808.39	-257.9445	0.8547435	0.001517121	0.001517121	0.0118675	0.0079714	0.246368	0.00282072	0.143568	0.281646	0.317625	0.4748341	0.05934384	68.34589	0.0687116	0.107143	0.428275	0.971041	2.49354	0.223475	0.367327	0.357674	0.0515239	0.4867016	0.9756165
4	-57616.5	-57339.29	-277.2046	0.8547435	0.001620419	0.001620419	0.0230775	0.0100694	0.245847	0.00281476	0.143265	0.28105	0.316954	0.4648395	0.05879066	69.58927	0.0687116	0.107143	0.428275	0.971041	2.49354	0.223475	0.367327	0.357674	0.0515239	0.487917	0.952702
5	-49464.01	-49159.36	-304.6458	0.8135783	0.001696684	0.001696684	-0.01772595	0.0117509	0.199712	0.00228654	0.11638	0.334631	0.33524	0.4648395	0.05858852	69.76153	0.5678744	0.0984446	0.412544	0.960647	2.52836	0.223475	0.367327	0.357674	0.0515239	0.4471135	1.039645
6	-46437.68	-46132.79	-304.8878	0.4158811	0.002030007	0.002030007	0.05348594	0.019401	0.198125	0.00277595	0.115147	0.331973	0.332578	0.4038084	0.05654519	69.79859	0.5678744	0.0190706	0.193516	0.747909	3.0395	0.248857	0.354715	0.345392	0.0510361	0.4572943	0.8830383
7	-43887.99	-43570.93	-317.0626	0.2635736	0.002030007	0.002030007	0.05400556	0.0196842	0.201018	0.0030526	0.101994	0.336819	0.337432	0.4038084	0.05978553	68.94077	0.7744852	0.00280563	0.0766529	0.52925	3.39129	0.274499	0.342606	0.333602	0.0492939	0.4578139	0.882036
8	-42675.68	-42362.14	-313.5385	0.2635736	0.002080138	0.002080138	0.004682061	0.0291427	0.206584	0.00313713	0.0682159	0.346145	0.346776	0.3685028	0.05846694	68.42748	0.7744852	0.00280563	0.0766529	0.52925	3.39129	0.281382	0.351196	0.316703	0.0507189	0.3731848	0.9874538
9	-41787.72	-41476.07	-311.6491	0.3362145	0.002632478	0.002632478	0.02227258	0.0385161	0.205867	0.00312625	0.0679795	0.265884	0.418627	0.3521474	0.06068433	67.84804	0.7744852	0.00868727	0.132805	0.651897	3.20661	0.281382	0.351196	0.316703	0.0507189	0.37442	0.9405145
10	-40927.09	-40609.55	-317.5428	0.4340617	0.003795172	0.003795172	0.02941268	0.0475459	0.253832	0.0054802	0.0771864	0.261577	0.354379	0.3508765	0.05123752	67.10668	0.7744852	0.0219193	0.206711	0.765657	3.00571	0.281382	0.351196	0.316703	0.0507189	0.3802892	0.9226571
11	-40008.85	-39688	-320.8487	0.8311552	0.003795172	0.003795172	-0.04804979	0.050946	0.271983	0.00587209	0.0752443	0.280282	0.315672	0.3453769	0.04901515	66.86838	0.7744852	0.102169	0.419381	0.965227	2.51322	0.281382	0.351196	0.316703	0.0507189	0.2973272	1.161606
12	-39402.55	-39087.8	-314.746	0.7549214	0.003795172	0.003795172	0.04295933	0.0432575	0.351338	0.00498591	0.0649457	0.237984	0.297489	0.2769008	0.04874562	66.84525	0.7744852	0.0859374	0.388331	0.943636	2.58209	0.285885	0.356817	0.305767	0.0515307	0.3198602	0.8656934
13	-38676.15	-38371.27	-304.8849	1.075603	0.003795172	0.003795172	-0.001827593	0.0435698	0.346655	0.0050219	0.0654145	0.239702	0.299636	0.2698044	0.04861559	66.14197	0.7744852	0.151787	0.498353	1.01148	2.33838	0.326074	0.406978	0.208173	0.0587748	0.2679768	1.00682
