Iteration	Posterior	Likelihood	Prior	alpha_seq	branch_rates	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	omega	origin_time	p_inv	rates_seq[1]	rates_seq[2]	rates_seq[3]	rates_seq[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-73667.93	-73458.96	-208.972	0.3902414	0.001	0.001	0.02	0.100683	0.204105	0.0190096	0.137162	0.124058	0.414983	0.48	0.1	66.40245	0.4772066	0.0153321	0.174429	0.720501	3.08974	0.0936501	0.151435	0.291193	0.463722	0.5	0.96
1	-57831.94	-57608.68	-223.2608	0.187352	0.001	0.001	0.03453382	0.0993106	0.213513	0.0201882	0.135293	0.122367	0.409328	0.4732507	0.09920574	66.11425	0.8390247	0.000333261	0.0268123	0.349851	3.623	0.123729	0.200074	0.328561	0.347637	0.5077845	0.9319912
2	-51746.2	-51501.86	-244.3381	0.1304098	0.001026781	0.001026781	0.01159775	0.0994907	0.213901	0.0431116	0.135538	0.122589	0.38537	0.4904256	0.09920574	66.49082	0.8390247	1.32821e-05	0.00539745	0.182302	3.81229	0.123952	0.200435	0.327348	0.348264	0.5020233	0.976898
3	-46301.59	-46023.65	-277.9453	0.1300057	0.001066957	0.001066957	0.01317359	0.0810282	0.236345	0.058057	0.110386	0.200327	0.313856	0.4999575	0.09981159	66.12449	0.8390247	1.28512e-05	0.00530944	0.181075	3.8136	0.143486	0.232021	0.221346	0.403147	0.5131311	0.9743271
4	-41744.03	-41443.87	-300.1576	0.1300057	0.001423398	0.001423398	0.03902983	0.0919198	0.268114	0.0658608	0.125224	0.227254	0.221627	0.4787952	0.09675214	66.84334	0.8390247	1.28512e-05	0.00530944	0.181075	3.8136	0.146212	0.21743	0.225551	0.410806	0.5178251	0.9246274
5	-39612.11	-39296.82	-315.2918	0.1300057	0.001425972	0.001425972	0.04416951	0.0919198	0.268114	0.0658608	0.125224	0.227254	0.221627	0.4783863	0.0788468	66.75362	0.8390247	1.28512e-05	0.00530944	0.181075	3.8136	0.188038	0.239711	0.192222	0.380029	0.5225558	0.9154741
6	-37397.03	-37072.12	-324.9029	0.134198	0.002062887	0.002062887	-0.04498193	0.0940042	0.274194	0.0673543	0.128023	0.232408	0.204017	0.5010507	0.07813786	66.24182	0.8710648	1.79199e-05	0.00626649	0.193826	3.79989	0.188038	0.239711	0.192222	0.380029	0.4560688	1.09863
7	-36118.28	-35796.88	-321.4072	0.176081	0.002063024	0.002063024	0.05580257	0.0935347	0.272825	0.0720119	0.127384	0.231247	0.202998	0.3761481	0.07877869	66.2744	0.8710648	0.000207861	0.0212152	0.318432	3.66015	0.188038	0.239711	0.192222	0.380029	0.4319507	0.8708126
8	-35837.9	-35518.58	-319.3194	0.2447528	0.002072429	0.002072429	0.07069285	0.105381	0.307378	0.0811324	0.146052	0.131348	0.228708	0.3519622	0.06211424	66.3044	0.8710648	0.00187616	0.0629275	0.490289	3.44491	0.190856	0.228319	0.195102	0.385723	0.4226551	0.832741
9	-35195.56	-34883.57	-311.9882	0.3325953	0.003232366	0.003232366	-0.008413665	0.130693	0.294918	0.0955301	0.129341	0.14698	0.202538	0.3805131	0.06507161	66.39672	0.8710648	0.00830809	0.129975	0.646693	3.21502	0.190856	0.228319	0.195102	0.385723	0.3720994	1.022611
10	-34989.71	-34680.61	-309.098	0.3325953	0.003232366	0.003232366	-0.0125963	0.126394	0.285216	0.125284	0.125086	0.142145	0.195875	0.3805131	0.06540604	66.03526	0.8710648	0.00830809	0.129975	0.646693	3.21502	0.190099	0.227413	0.198294	0.384194	0.3679168	1.034237
11	-34517.41	-34202.29	-315.1183	0.4714335	0.004577008	0.004577008	-0.01548483	0.117751	0.265714	0.153101	0.116533	0.164419	0.182482	0.3834016	0.06335423	66.35532	0.8710648	0.0282232	0.232858	0.798316	2.9406	0.186066	0.243806	0.194087	0.376042	0.3679168	1.042088
12	-34139.7	-33824.78	-314.9234	0.4888702	0.007383879	0.007383879	-0.01024076	0.118778	0.299016	0.143407	0.113863	0.154008	0.170927	0.3834016	0.06176619	66.43027	0.8710648	0.0313439	0.244588	0.811998	2.91207	0.186066	0.243806	0.194087	0.376042	0.3731609	1.027443
13	-33854.93	-33546.73	-308.1997	0.6774107	0.007397214	0.007397214	0.00717727	0.119285	0.300291	0.144018	0.110087	0.154664	0.171656	0.3659836	0.06058228	66.98062	0.8710648	0.0693712	0.352674	0.916201	2.66175	0.198142	0.25963	0.206684	0.335544	0.3731609	0.9807663
14	-33718.3	-33406.79	-311.5059	0.7765287	0.007457938	0.007457938	0.001704088	0.112814	0.284002	0.172977	0.104115	0.163746	0.162345	0.3683002	0.06040858	67.22156	0.5352398	0.0905554	0.39751	0.950233	2.5617	0.198142	0.25963	0.206684	0.335544	0.3700043	0.9953944
15	-33239.62	-32928.54	-311.0769	0.542461	0.007495331	0.007495331	-0.002420533	0.113258	0.28119	0.173656	0.104524	0.16439	0.162982	0.3693304	0.06421638	66.38002	0.5352398	0.0415024	0.278735	0.848864	2.8309	0.210549	0.255613	0.203486	0.330353	0.3669099	1.006597
16	-32933.51	-32625.25	-308.2617	0.4278916	0.007757459	0.007757459	-0.004668071	0.124003	0.212991	0.190132	0.114441	0.179987	0.178446	0.3693304	0.06004947	66.65934	0.5888961	0.0209352	0.202267	0.759781	3.01702	0.210549	0.255613	0.203486	0.330353	0.3646624	1.012801
17	-32445.77	-32137.09	-308.6751	0.440254	0.01231316	0.01231316	0.02815628	0.128567	0.22083	0.160324	0.118654	0.186611	0.185014	0.348703	0.05918349	66.9358	0.5888961	0.022924	0.211136	0.771409	2.99453	0.217336	0.231617	0.210045	0.341002	0.3768593	0.925287
18	-32330.19	-32025.76	-304.4315	0.6334968	0.01235666	0.01235666	-0.007444038	0.128567	0.22083	0.160324	0.118654	0.186611	0.185014	0.342444	0.06522759	66.43915	0.5888961	0.0600821	0.330387	0.897491	2.71204	0.217336	0.231617	0.210045	0.341002	0.335	1.022221
