Iteration	Posterior	Likelihood	Prior	alpha_seq	branch_rates	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	omega	origin_time	p_inv	rates_seq[1]	rates_seq[2]	rates_seq[3]	rates_seq[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
20	213.0386	-1323.528	1536.567	0.7268991	0.006155444	0.006155444	0.03437409	0.0939828	0.437998	0.0974065	0.0658721	0.189173	0.115568	0.2970261	0.6288979	69.4599	0.6189968	0.0799407	0.37595	0.934443	2.60967	0.190282	0.273027	0.181818	0.354873	0.3314002	0.8962762
21	278.3506	-1258.656	1537.007	0.7874662	0.006155444	0.006155444	0.03742638	0.0793702	0.369898	0.0822616	0.0556302	0.315241	0.0975991	0.3102031	0.6516668	69.38293	0.6189968	0.092889	0.402038	0.953421	2.55165	0.210736	0.276172	0.183913	0.329179	0.3476295	0.8923383
22	285.4051	-1253.017	1538.422	0.7895055	0.006138402	0.006138402	0.03662882	0.072972	0.366937	0.0816031	0.0551849	0.311696	0.111608	0.3104453	0.6489578	67.8802	0.6386069	0.0933237	0.402874	0.954004	2.5498	0.231707	0.204141	0.202215	0.361937	0.3470741	0.894464
23	285.3453	-1250.82	1536.165	1.215442	0.0069497	0.0069497	0.04652812	0.0746077	0.3684	0.0834324	0.0407678	0.318683	0.114109	0.3111026	0.6477675	67.82694	0.6386069	0.17784	0.533145	1.0282	2.26082	0.22485	0.1981	0.225826	0.351225	0.3576308	0.869899
24	297.3428	-1239.173	1536.516	1.215442	0.0069497	0.0069497	0.03882081	0.0675885	0.236583	0.0934127	0.0402733	0.449417	0.112725	0.3164202	0.6477675	67.75397	0.6386069	0.17784	0.533145	1.0282	2.26082	0.271282	0.182413	0.207943	0.338362	0.355241	0.8907198
25	302.2583	-1233.536	1535.794	0.9781388	0.004620722	0.004620722	0.03129934	0.061691	0.21594	0.0852619	0.0367592	0.479835	0.120514	0.3284881	0.6510005	66.58272	0.6386069	0.132572	0.470081	0.996281	2.40107	0.27345	0.183871	0.224495	0.318184	0.3597874	0.913006
26	299.9125	-1236.338	1536.251	0.9806935	0.004619216	0.004619216	0.02847831	0.0607986	0.265204	0.0840285	0.0362275	0.434972	0.11877	0.3284881	0.6510005	66.74667	0.6386069	0.133086	0.470871	0.996726	2.39932	0.291533	0.19603	0.239341	0.273096	0.3569664	0.9202213
27	300.6515	-1234.685	1535.336	0.978733	0.004865696	0.004865696	0.04730311	0.0695445	0.275757	0.0997714	0.0340757	0.409136	0.111716	0.3284881	0.6370597	67.18441	0.6386069	0.132691	0.470265	0.996385	2.40066	0.258229	0.205245	0.250592	0.285934	0.3757912	0.874124
28	300.2725	-1236.674	1536.946	0.9227728	0.005038012	0.005038012	0.03380802	0.0653589	0.25916	0.0937665	0.0320248	0.404439	0.145251	0.3475606	0.6067035	66.5838	0.6386069	0.121299	0.452242	0.985924	2.44053	0.264376	0.236134	0.20675	0.29274	0.3813686	0.9113508
29	304.555	-1231.364	1535.919	0.9412131	0.004402185	0.004402185	-0.009514158	0.0872714	0.245538	0.0888379	0.0303415	0.38318	0.164832	0.3542181	0.612171	66.44046	0.6386069	0.12508	0.45834	0.989533	2.42705	0.273751	0.209046	0.214082	0.303121	0.3447039	1.027601
30	316.262	-1222.143	1538.405	0.9075546	0.004896768	0.004896768	0.005631178	0.0881707	0.248068	0.0794488	0.0306541	0.387128	0.16653	0.3818875	0.6110474	69.03692	0.6386069	0.118159	0.447086	0.982818	2.45194	0.297349	0.200927	0.207675	0.29405	0.3875187	0.9854686
31	322.9729	-1217.315	1540.288	0.9030337	0.004850632	0.004850632	0.02128347	0.0819916	0.230683	0.0507036	0.0285059	0.52467	0.083446	0.3706512	0.564627	68.64811	0.6386069	0.117224	0.445532	0.981871	2.45537	0.292866	0.173153	0.244363	0.289617	0.3919347	0.9456964
32	330.8518	-1209.69	1540.542	0.8793436	0.006843061	0.006843061	0.03460445	0.0779793	0.277177	0.0539177	0.0125689	0.498995	0.0793626	0.3600337	0.564627	69.33096	0.6386069	0.112297	0.43722	0.976729	2.47375	0.267373	0.158081	0.263544	0.311002	0.3946381	0.9123135
33	338.1663	-1202.459	1540.625	0.8848568	0.006589644	0.006589644	0.02139175	0.115578	0.243589	0.159124	0.0110458	0.400918	0.0697456	0.3613047	0.5645487	70.54092	0.6386069	0.113447	0.43918	0.977954	2.46942	0.222844	0.175271	0.257065	0.344821	0.3826965	0.9441026
34	338.3284	-1202.967	1541.295	0.8806468	0.006335243	0.006335243	0.02138217	0.108289	0.228227	0.149088	0.0101038	0.438945	0.065347	0.3610209	0.5746228	69.72294	0.6386069	0.112569	0.437685	0.97702	2.47273	0.188402	0.187632	0.254827	0.369139	0.3824031	0.9440847
