Iteration	Posterior	Likelihood	Prior	alpha_seq	branch_rates	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	omega	origin_time	p_inv	rates_seq[1]	rates_seq[2]	rates_seq[3]	rates_seq[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
20	1005.128	-678.8116	1683.939	0.4287683	0.0008607398	0.0008607398	0.02491615	0.0591811	0.11158	0.146903	0.111938	0.53057	0.0398288	0.2392454	0.8013715	69.16537	0.6150124	0.021074	0.2029	0.760625	3.0154	0.222299	0.229184	0.253227	0.295289	0.2641616	0.9056784
21	1004.682	-678.3509	1683.033	0.4383198	0.00085827	0.00085827	0.01570975	0.0672998	0.117574	0.154795	0.117951	0.506782	0.0355976	0.2476533	0.7590621	68.71588	0.6150124	0.0226084	0.209758	0.769628	2.99801	0.2467	0.218196	0.241087	0.294017	0.263363	0.9403494
22	1006.952	-676.5991	1683.551	0.4399765	0.001198802	0.001198802	0.02334025	0.0610658	0.17442	0.146159	0.111371	0.478509	0.0284743	0.2388658	1.174733	69.10334	0.6150124	0.0228786	0.210939	0.771154	2.99503	0.247093	0.216951	0.241471	0.294486	0.262206	0.9109851
23	1009.03	-675.9364	1684.967	0.3927607	0.00126003	0.00126003	0.04001077	0.0610658	0.17442	0.146159	0.111371	0.478509	0.0284743	0.2323463	1.153233	68.4826	0.6150124	0.015684	0.176328	0.723326	3.08466	0.230649	0.202513	0.291951	0.274888	0.2723571	0.8530944
24	1010.334	-674.8891	1685.223	0.3737174	0.001357722	0.001357722	0.03912713	0.0595981	0.199645	0.142646	0.108694	0.467008	0.0224087	0.2332299	1.14981	68.40967	0.6150124	0.0131125	0.161867	0.701198	3.12382	0.222667	0.207906	0.281847	0.28758	0.2723571	0.8563388
25	1013.003	-675.1094	1688.112	0.377422	0.001359634	0.001359634	0.03674357	0.0592685	0.198541	0.130071	0.0623541	0.512144	0.0376206	0.2399927	1.104588	68.40414	0.6150124	0.0135965	0.164699	0.705645	3.11606	0.166885	0.222872	0.302136	0.308107	0.2767362	0.8672253
26	1012.813	-672.6723	1685.485	0.3584817	0.001359634	0.001359634	0.04000738	0.0615528	0.201134	0.13177	0.0486	0.518832	0.0381118	0.2367289	1.146068	68.45675	0.5444732	0.0112084	0.150136	0.682141	3.15652	0.187572	0.2505	0.243212	0.318716	0.2767362	0.8554314
27	1016.765	-667.0784	1683.844	0.3584817	0.001303614	0.001303614	0.0429167	0.0588501	0.192302	0.125984	0.046466	0.49605	0.0803479	0.2333774	1.146068	67.06031	0.5444732	0.0112084	0.150136	0.682141	3.15652	0.18345	0.266973	0.237867	0.311711	0.2762941	0.8446702
28	1011.625	-672.8718	1684.497	0.8091719	0.001757687	0.001757687	0.02565462	0.0570921	0.190571	0.12222	0.045078	0.481232	0.103807	0.2543118	1.089316	66.72549	0.5444732	0.0975089	0.410801	0.959464	2.53223	0.195917	0.195801	0.275388	0.332894	0.2799664	0.9083654
29	1011.861	-671.5798	1683.441	0.7724977	0.001753403	0.001753403	0.08606285	0.056948	0.142618	0.117466	0.0488589	0.521595	0.112514	0.2462375	1.089316	66.78464	0.5444732	0.0896946	0.395821	0.949033	2.56545	0.219437	0.237188	0.272975	0.2704	0.3323003	0.7410088
30	1019.746	-666.4514	1686.198	0.5832976	0.001161573	0.001161573	0.0009174425	0.0665512	0.152945	0.125972	0.0655962	0.468276	0.12066	0.2793994	1.094752	65.91586	0.5596527	0.0496824	0.30286	0.872553	2.77491	0.227988	0.238689	0.274702	0.258621	0.2803168	0.9967271
31	1019.129	-668.5039	1687.632	0.5654975	0.001165955	0.001165955	0.03140947	0.0682854	0.189734	0.129254	0.0579318	0.43099	0.123805	0.2490061	1.094752	67.42338	0.6678253	0.0460792	0.292541	0.862641	2.79874	0.221226	0.261267	0.266555	0.250951	0.2804155	0.8879896
32	1025.032	-666.0609	1691.093	0.6078561	0.000987001	0.000987001	0.03803208	0.0421036	0.21251	0.129848	0.0581978	0.432968	0.124373	0.2585852	1.094533	68.0508	0.5134875	0.0547323	0.316611	0.885275	2.74338	0.225586	0.266417	0.2521	0.255897	0.2966173	0.8717806
33	1025.045	-663.9055	1688.95	0.4147634	0.0009863761	0.0009863761	0.05707747	0.0404291	0.170708	0.124683	0.0558831	0.47806	0.130237	0.2630056	1.041747	68.08916	0.4707901	0.0189006	0.192696	0.746774	3.04163	0.223644	0.272734	0.249929	0.253694	0.3200831	0.8216792
34	1024.915	-663.5432	1688.458	0.4238601	0.000984012	0.000984012	0.01191143	0.0564632	0.175664	0.0837492	0.0553979	0.473909	0.154816	0.2636059	1.089845	68.08186	0.4707901	0.0203017	0.199344	0.755861	3.02449	0.233504	0.240669	0.260948	0.264879	0.2755173	0.956767
35	1023.949	-664.9235	1688.872	0.4272338	0.001010057	0.001010057	0.02320053	0.0527445	0.217576	0.0782334	0.0517494	0.442697	0.156999	0.2864612	0.768955	70.09363	0.6240857	0.0208314	0.201791	0.759145	3.01823	0.252993	0.241015	0.251105	0.254887	0.3096617	0.9250778
36	1023.36	-664.7772	1688.137	0.567131	0.001005114	0.001005114	0.0429886	0.0450595	0.197025	0.0668347	0.0552134	0.501743	0.134124	0.2774355	0.969793	69.75404	0.5043367	0.0464076	0.2935	0.863577	2.79652	0.223818	0.213221	0.264916	0.298045	0.3204241	0.8658384
37	1021.049	-667.1289	1688.178	0.4431303	0.000882123	0.000882123	0.04466546	0.0465856	0.178271	0.0614915	0.0562482	0.518737	0.138667	0.2697225	0.969793	69.34769	0.4400281	0.0233963	0.213179	0.774033	2.98939	0.223818	0.213221	0.264916	0.298045	0.314388	0.8579288
38	1018.313	-668.3564	1686.669	0.492175	0.0008861951	0.0008861951	-0.04231535	0.0563614	0.204534	0.172238	0.0605995	0.390997	0.11527	0.3567033	0.9349395	69.85821	0.5567918	0.0319467	0.246777	0.81449	2.90679	0.240246	0.228871	0.250714	0.280169	0.314388	1.134596
39	1013.617	-672.5764	1686.194	0.4868065	0.0008994903	0.0008994903	-0.04230537	0.0529382	0.192111	0.161776	0.0551132	0.429792	0.108269	0.3576525	0.9646484	68.3566	0.5567918	0.0309692	0.243216	0.810426	2.91539	0.254947	0.189706	0.258034	0.297313	0.3153471	1.134155
40	1019.13	-666.5851	1685.715	0.3333175	0.0009338087	0.0009338087	-0.02381972	0.0582378	0.211344	0.177972	0.0513344	0.437443	0.0636695	0.3416299	0.9646484	67.03644	0.5567918	0.00838305	0.13054	0.647738	3.21334	0.205301	0.202347	0.275228	0.317124	0.3178102	1.074949
41	1033.186	-655.0614	1688.248	0.3433478	0.0009942532	0.0009942532	0.06012825	0.0841599	0.178104	0.17604	0.050777	0.432693	0.0782256	0.2491362	0.9663824	65.21235	0.5567918	0.00946001	0.138375	0.661911	3.19025	0.208832	0.205826	0.281649	0.303693	0.3092645	0.8055766
42	1035.015	-653.9941	1689.009	0.3925009	0.000951568	0.000951568	0.0168271	0.0841599	0.178104	0.17604	0.050777	0.432693	0.0782256	0.2490709	0.9785306	64.53388	0.5567918	0.0156476	0.176132	0.723037	3.08518	0.217794	0.21466	0.293737	0.273809	0.265898	0.9367159
43	1031.338	-657.0593	1688.397	0.39373	0.0009790909	0.0009790909	0.0005010364	0.0793466	0.167918	0.165971	0.052111	0.45236	0.082293	0.2601757	0.9785306	64.73281	0.5567918	0.0158203	0.177057	0.724406	3.08272	0.149538	0.233391	0.319368	0.297702	0.2606768	0.9980779
44	1030.174	-655.1977	1685.371	0.6935077	0.0009331175	0.0009331175	-0.006023713	0.0766881	0.248685	0.147097	0.0461848	0.400917	0.0804284	0.2310361	0.9713932	65.61389	0.5567918	0.0728021	0.360451	0.922439	2.64431	0.153281	0.264861	0.301144	0.280714	0.2250124	1.026771
45	1033.457	-650.8194	1684.276	0.7293078	0.0009255606	0.0009255606	-0.01489513	0.0566887	0.265529	0.15706	0.049313	0.383092	0.0883171	0.2362988	0.9700854	65.43923	0.5567918	0.0804562	0.377036	0.935263	2.60724	0.193733	0.278371	0.232864	0.295032	0.2214037	1.067276
46	1043.082	-647.6217	1690.703	0.7491487	0.0009255606	0.0009255606	0.02942601	0.0574833	0.1948	0.159261	0.0394314	0.459469	0.0895549	0.2548711	0.9661516	64.65891	0.4763601	0.0847024	0.385826	0.941804	2.58767	0.193733	0.278371	0.232864	0.295032	0.2842971	0.8964956
47	1035.907	-651.2042	1687.111	1.192054	0.00088311	0.00088311	-0.0243035	0.0483299	0.190682	0.155895	0.0385979	0.478834	0.0876619	0.3079836	0.8580833	65.13877	0.4763601	0.17361	0.527739	1.02574	2.27291	0.204867	0.294368	0.246246	0.25452	0.2836801	1.085672
