taxon,max_age,min_age
Morozovelloides_bandyi_Ia,47.42,41.88
Morozovelloides_coronatus_Ia,44.93,40.01
Morozovelloides_crassatus_Ia,45.45,37.92
Morozovelloides_lehneri_Ia,44.14,40.01
Muricohedbergella_holmdelensis_Ia,70.92,65.78
Muricohedbergella_monmouthensis_Ia,69.69,65.75
Neogloboquadrina_acostaensis_Ia,11.156,0.451
Neogloboquadrina_atlantica_Ia,7.203,0.639
Neogloboquadrina_dutertrei_Ia,11.967,0
Neogloboquadrina_humerosa_Ia,8.56,1.279
Neogloboquadrina_incompta_Ia,11.807,0
Neogloboquadrina_pachyderma_Ia,10.924,0
Pearsonites_anapetes_Ia,44.93,43.18
Pearsonites_broedermanni_Ia,56.22,43.27
Planorotalites_capdevilensis_Ia,50.01,37.92
Planorotalites_pseudoscitula_Ia,57.1,45.98
Praemurica_inconstans_Ia,63.83,62.24
Praemurica_pseudoinconstans_Ia,65.71,62.44
Praemurica_taurica_Ia,65.78,64.74
Praemurica_uncinata_Ia,62.48,62.05
Pulleniatina_obliquiloculata_Ia,5.69,0
Pulleniatina_praecursor_Ia,6.91,1.75
Pulleniatina_praespectabilis_Ia,4.63,4.41
Pulleniatina_primalis_Ia,6.53,0.9
Pulleniatina_spectabilis_Ia,5.26,4.21
Globorotalia_cavernula_Ia,0.9,0
Globorotalia_crassaconica_Ia,4.31,3.5
Globorotalia_crassaformis_Ia,5.8,0
Globorotalia_crassula_Ia,5.63,0.035
Globorotalia_truncatulinoides_Ia,2.372,0
Globorotalia_hessi_Ia,1.8,0.4
Globorotalia_ronda_Ia,4.01,1
Globorotalia_tenuitheca_Ia,3.4,1.3
Globorotalia_tosaensis_Ia,3.35,0.293
Globorotalia_viola_Ia,3.5,1.4
Turborotalia_ampliapertura_Ia,40.18,30.28
Turborotalia_cerroazulensis_Ia,41.45,34.05
Turborotalia_cocoaensis_Ia,38.52,34.05
Turborotalia_cunialensis_Ia,34.43,34.05
Turborotalia_frontosa_Ia,47.93,40.6
Turborotalia_increbescens_Ia,39.02,31.67
Turborotalia_pomeroli_Ia,42.78,34.93
Turborotalia_possagnoensis_Ia,43.49,40.6
Globorotalia_cultrata_Ia,0,0
Pulleniatina_obliquiloculata_IIa,0,0
Neogloboquadrina_pachyderma_IIb,0,0
Neogloboquadrina_pachyderma_IVa,0,0
Globorotalia_truncatulinoides_IIb,0,0
Globorotalia_inflata_Ib,0,0
Globorotalia_truncatulinoides_IIa,0,0
Neogloboquadrina_incompta_IIa,0,0
Neogloboquadrina_pachyderma_IIIa,0,0
Globorotalia_truncatulinoides_Ib,0,0
Neogloboquadrina_pachyderma_Va,0,0
Neogloboquadrina_pachyderma_IIa,0,0
Globorotalia_truncatulinoides_Ic,0,0
Neogloboquadrina_pachyderma_IIc,0,0
