x
56
108
370
125
32
1498
589
788
160
98
349
167
52
6
311
219
372
396
224
1133
249
674
20
139
423
22
1008
113
445
311
335
229
49
12
275
6741
1944
379
793
1243
373
334
269
248
587
418
1516
89
395
388
180
18
400
1109
215
205
1443
3713
239
22
57
10
514
414
7776
1695
197
147
573
1087
12
320
2556
12248
206
1779
1718
8658
932
613
4729
571
144
126
60
3218
3
82
683
1877
7
254
2
144
2836
681
747
10
10
211
172
3092
3725
3203
281
228
159
1
24
93
33
15
17
133
61
251
355
489
4
28
369
99
588
9
213
170
582
186
140
132
134
175
348
266
191
490
211
373
570
38
41
696
132
6
75
508
495
308
6
20
166
111
72
257
246
2
9
126
208
17
425
5
471
22501
460
7
599
328
86
37
489
237
331
78
0
0
0
0
0
0
0
0
0
0
0
0
0
0
