"model","rate_type","mean_correlation","median_ci_lower","median_ci_upper","median_p_value","n"
"Extant_Microperforate_pf95_pt95_nodeDating","birth",-0.0209649768030737,-0.0536729052364129,0.0051271263027178,0.0818066574417473,15
"Extant_Microperforate_pf95_pt95_nodeDating","death",0.0614298096464439,-0.0187389866550721,0.0409567317143874,0.00102516510965334,15
"Fossil_MixedSpinose","birth",0.0612526055645951,0.0741056046924963,0.123770644235301,8.73641239433434e-15,3
"Fossil_MixedSpinose","death",-0.0209731985876214,-0.103180197327622,-0.0529845013233654,5.90748195272183e-49,3
