"x"
80
86
86
86
84
85
88
83
86
89
91
93
94
98
92
91
98
96
97
96
93
95
93
92
91
92
85
85
83
81
81
78
81
75
71
72
71
68
75
67
64
66
65
62
61
59
65
61
60
62
67
63
65
64
64
63
61
61
65
67
63
65
65
67
64
66
68
68
68
67
67
66
67
70
66
69
67
67
66
67
70
67
60
68
60
60
59
56
53
53
55
56
53
54
58
52
51
49
46
50
53
51
51
51
47
46
58
59
62
60
62
60
61
54
64
66
55
63
56
48
58
60
61
54
52
58
56
55
53
58
54
51
54
53
50
55
45
44
54
45
47
45
48
50
47
49
49
50
52
58
48
49
47
48
48
51
45
48
47
43
47
47
52
46
46
50
61
50
58
49
54
49
51
53
59
51
52
43
59
53
56
48
52
60
58
51
49
54
52
52
54
66
65
66
50
54
63
58
62
65
61
69
69
64
61
66
61
64
53
67
56
64
56
67
70
61
70
72
64
65
59
55
54
60
54
54
52
47
56
54
53
51
57
53
65
53
46
46
49
51
45
49
52
47
49
46
52
59
50
50
49
59
57
53
50
55
43
48
56
55
47
47
51
54
53
56
51
45
55
53
50
51
51
56
44
51
48
55
56
62
40
48
46
43
40
51
50
42
44
37
32
43
44
41
36
33
28
36
33
39
36
29
30
32
43
23
42
36
41
40
33
38
35
28
28
30
32
21
24
28
25
27
30
29
29
25
28
28
27
29
14
