"","Lineage code","Ancestor code","Start date","End date","Species in lineage"
"1","N13","N5",55.88,48.7,"Globanomalina australiformis"
"2","N193bis","F65941",35.6130691677728,30.5,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana"
"3","N175","F19192",32.4235033868509,27.3,"Dentoglobigerina galavisi"
"4","N191","N188",54.5,46.15,"Paragloborotalia griffinoides"
"5","N193","N191",46.15,37.2,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana"
"6","N199","N190",53.5,44.5,"Globorotaloides quadrocameratus"
"7","N201","N199",44.5,30.4,"Globorotaloides eovariabilis"
"8","N206","N190",53.5,43.4,"Globorotaloides suteri-Catapsydrax unicavus"
"9","N295","N998",26.3,15.8,"Globorotaloides eovariabilis"
"10","N314","N308",54.5,44.15,"Globoturborotalita bassriverensis"
"11","N315","F90725",18.2286983340001,4.5,"Turborotalita carcoselleensis-Turborotalita praequinqueloba-Turborotalita quinqueloba"
"12","N319","N318",42.4,34.5,"Globoturborotalita ouachitaensis"
"13","N47","N32",14.8,8.2,"Globorotalia scitula-Globorotalia gigantea"
"14","N6","F71429",52.562134894469,45.25,"Globanomalina ovalis-Globanomalina luxorensis-Pseudohastigerina wilcoxensis"
"15","N86","F69717",55.3636485181865,49.55,"Planorotalites pseudoscitula-Planorotalites capdevilensis"
"16","T113","F2709",37.0008256904245,30.3,"Acarinina collactea"
"17","T140","N142",44.35,38,"Acarinina mcgowrani"
"18","T155","F24763",13.0506927324017,6.7,"Fohsella paralenguaensis-Fohsella lenguaensis"
"19","T189","N188",54.5,40.5,"Parasubbotina varianta-Parasubbotina pseudowilsoni"
"20","T192","N191",46.15,33.7,"Paragloborotalia griffinoides"
"21","T197","F64998",21.4996189283347,15.1,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana-Paragloborotalia incognita"
"22","T200","N199",44.5,33.7,"Globorotaloides quadrocameratus"
"23","T204","F44679",12.526229216115,4.8,"Globorotaloides variabilis"
"24","T211","N210",39.4,34.3,"Catapsydrax globiformis"
"25","T214","F43013",18.1717863811977,10.9,"Globorotaloides stainforthi-Catapsydrax parvulus"
"26","T233","N232",45.25,37.3,"Parasubbotina griffinae"
"27","T245","F29586",41.5592132626797,36.3,"Globigerinatheka barri"
"28","T247","N246",43,35.5,"Globigerinatheka subconglobata-Globigerinatheka korotkovi"
