"","Lineage code","Ancestor code","Start date","End date","Species in lineage"
"1","N119","F118",48.4727258438556,43.2,"Acarinina alticonica-Acarinina pseudosubsphaerica"
"2","N175","N171",32.5,27.3,"Dentoglobigerina galavisi"
"3","N191","N188",54.5,46.15,"Paragloborotalia griffinoides"
"4","N199","N190",53.5,44.5,"Globorotaloides quadrocameratus"
"5","N201","N199",44.5,30.4,"Globorotaloides eovariabilis"
"6","N295","N998",26.3,15.8,"Globorotaloides eovariabilis"
"7","N314","N308",54.5,44.15,"Globoturborotalita bassriverensis"
"8","N319","N318",42.4,34.5,"Globoturborotalita ouachitaensis"
"9","N47","N32",14.8,8.2,"Globorotalia scitula-Globorotalia gigantea"
"10","T105","N104",55.45,50.4,"Acarinina esnehensis"
"11","T113","F2400",35.7023201952525,30.3,"Acarinina collactea"
"12","T140","N142",44.35,38,"Acarinina mcgowrani"
"13","T189","F68393",46.2106053726468,40.5,"Parasubbotina varianta-Parasubbotina pseudowilsoni"
"14","T192","N191",46.15,33.7,"Paragloborotalia griffinoides"
"15","T197","F65929",20.3338989582774,15.1,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana-Paragloborotalia incognita"
"16","T200","N199",44.5,33.7,"Globorotaloides quadrocameratus"
"17","T202","F44476",27.8751583104208,22.5,"Globorotaloides testarugosus"
"18","T204","N203",13.8,4.8,"Globorotaloides variabilis"
"19","T211","N210",39.4,34.3,"Catapsydrax globiformis"
"20","T214","N212",27.5,10.9,"Globorotaloides stainforthi-Catapsydrax parvulus"
"21","T233","N232",45.25,37.3,"Parasubbotina griffinae"
"22","T270","N269",42.8,33.7,"Subbotina jacksonensis"
"23","T275","N273",32.9,27.2,"Subbotina sp2"
"24","T284","N283",28.9,23.8,"Globigerina officinalis"
"25","T320","F47648",28.8178035735124,23.8,"Globoturborotalita ouachitaensis"
"26","T323","F46568",28.4751889045404,16.3,"Globoturborotalita labiacrassata"
"27","T33","N26",15.15,4.8,"Globorotalia challengeri-Globorotalia juanai"
"28","T353","F35803",7.87045772346202,2.3,"Globigerinoides bollii-Globoturborotalita kennetti"
"29","T361","N325",22.7,15.1,"Globoturborotalita brazieri"
"30","T362","N221",44.6,34,"Clavigerinella eocanica"
"31","T367","N366",29.4,4,"Protentella prolixa-Protentella nicobarensis"
"32","T372","N291",21.5,2,"Globigerina eamesi"
"33","T373","F45850",5.67026590137277,0.6,"Globoturborotalita druryi"
"34","T7","N6",45.25,39.3,"Pseudohastigerina sharkriverensis"
"35","F9192","N70",60.75,49.2312502052123,"Alicantina lozanoi-Alicantina prolata"
"36","F90984","N314",44.15,37.1664551916663,"Turborotalita carcoselleensis-Turborotalita praequinqueloba-Turborotalita quinqueloba"
"37","F69384","F69493",55.4132848976878,50.0331260312456,"Planorotalites pseudoscitula-Planorotalites capdevilensis"
"38","F15160","N319",34.5,27.4481028185482,"Globoturborotalita gnaucki-Ciperoella anguliofficinalis"
"39","F9287","N298",10.2,3.46640063467092,"Beella praedigitata-Beella digitata"
"40","F28121","F47374",20.2182817222201,10.6298423216725,"Globoturborotalita occlusa-Globigerina praebulloides-Globigerina bulloides-Globigerina umbilicata-Globigerina falconensis"
"41","F69603","F69726",49.0275015028915,42.0402295967867,"Planorotalites pseudoscitula-Planorotalites capdevilensis"
"42","F79275","N262",55.6,49.7167128294054,"Subbotina roesnaesensis"
"43","F64543","N191",46.15,35.2328497835598,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana"
"44","F45850","N291",21.5,5.67026590137277,"Globoturborotalita druryi"
"45","F66178","N149",37.2,26.9518181729604,"Paragloborotalia pseudokugleri-Paragloborotalia kugleri"
"46","F20849","N166",32.1,26.8867073829482,"Dentoglobigerina sellii"
"47","F90673","F90495",35.8720262232516,12.5298697580625,"Turborotalita carcoselleensis-Turborotalita praequinqueloba-Turborotalita quinqueloba"
"48","F42652","N203",13.8,7.48419936373131,"Globorotaloides eovariabilis-Globorotaloides hexagonus"
"49","F29616","N244",43.75,38.6771386040724,"Globigerinatheka barri"
"50","F47487","N319",34.5,29.1811022399855,"Globoturborotalita ouachitaensis"
"51","F90939","F90673",12.5298697580625,7.43007956209825,"Turborotalita carcoselleensis-Turborotalita praequinqueloba-Turborotalita quinqueloba"
"52","F32108","F31997",22.5730749885016,15.4846246624808,"Globigerinella clavaticamerata-Globigerinella obesa-Globigerinella praesiphonifera-Globigerinella siphonifera"
"53","F60314","N156",10.8,5.19465581180993,"Neogloboquadrina incompta-Neogloboquadrina pachyderma"
"54","F68393","N188",54.5,46.2106053726468,"Parasubbotina varianta-Parasubbotina pseudowilsoni"
"55","F12469","N190",53.5,45.4202338678762,"Globorotaloides suteri-Catapsydrax unicavus"
"56","F18635","N168",25.5,19.7738681689533,"Dentoglobigerina binaiensis"
"57","F3102","N119",43.2,35.9529082011199,"Acarinina echinata"
"58","F71514","F26775",53.9510002588641,48.0480493468492,"Globanomalina ovalis-Globanomalina luxorensis-Pseudohastigerina wilcoxensis"
"59","F29052","N276",47.55,33.2099824527651,"Subbotina roesnaesensis-Globigerina officinalis"
"60","F20075","F20031",20.3773232014183,13.4897955460218,"Dentoglobigerina larmeui"
"61","F46662","N318",42.4,32.8754220423521,"Globoturborotalita martini"
"62","F38340","F38585",10.1142686282781,4.34013862354681,"Globigerinoides elongatus-Globigerinoides ruber-Globigerinoides seigliei"
"63","F78933","F79183",54.2035459240968,48.841760122187,"Subbotina cancellata-Subbotina patagonica-Subbotina linaperta"
