"","Lineage code","Ancestor code","Start date","End date","Species in lineage"
"646","F43740","F12746",24.8069470016262,24.78416755081,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"647","F43876","F10498",18.6124795048605,18.3509517032164,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"648","F48440","F47809",17.7835102268052,17.3178711889428,"Globoturborotalita woodi"
"649","F37787","F37803",9.87663886516525,9.65045704546617,"Globigerinoides altiaperturus-Globigerinoides obliquus"
"650","F32087","F31912",20.0646506307577,18.7290141021018,"Globigerinella clavaticamerata-Globigerinella obesa-Globigerinella praesiphonifera-Globigerinella siphonifera"
"651","F5020","F2116",51.8565180538828,51.6535172625468,"Acarinina coalingensis-Acarinina primitiva"
"652","F64653","F65113",26.4770099603787,26.3941066509534,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana-Paragloborotalia incognita"
"653","F82195","N265",48.4,48.3671623396664,"Subbotina yeguaensis-Subbotina gortanii"
"654","F48198","F44972",6.02657508977188,5.55737189752717,"Globoturborotalita woodi-Globoturborotalita apertura"
"655","F81044","N259",63.7,63.357592811666,"Subbotina triloculinoides"
"656","F74086","F74122",36.9440389852412,36.3216052197339,"Subbotina minima-Subbotina angiporoides"
"657","F52703","F52194",6.5348122901842,6.53422987838509,"Globorotalia menardii"
"658","F41407","F41188",14.9598943459392,14.7093284347607,"Globoquadrina dehiscens"
"659","F39542","F39364",8.56580032829462,8.09750861932462,"Globorotalia miozea-Globorotalia miotumida-Globorotalia conomiozea-Globorotalia terminalis"
"660","F24989","F24993",13.9133910134572,13.2892442114378,"Fohsella peripheroronda-Paragloborotalia birnageae-Fohsella peripheroacuta-Fohsella praefohsi"
"661","F86855","F86857",7.25732339735815,7.07950564721664,"Trilobatus sacculifer-Trilobatus praeimmaturus-Trilobatus subsacculifer"
"662","F59840","F59926",5.35959563393611,5.13272804905396,"Neogloboquadrina incompta-Neogloboquadrina pachyderma"
"663","F75036","F74962",41.8309029594972,40.6470814348035,"Parasubbotina hagni-Subbotina corpulenta"
"664","F47471","N319",34.5,31.3287879399722,"Globoturborotalita ouachitaensis"
"665","F89272","F89360",35.412280995609,35.1496319700219,"Turborotalia pomeroli-Turborotalia cerroazulensis"
"666","F47879","F47933",3.72514377699963,2.35881993334833,"Globoturborotalita woodi-Globoturborotalita apertura"
"667","F77112","F82140",38.2364420996426,34.4813234424581,"Subbotina yeguaensis-Subbotina gortanii"
"668","F37403","F37865",6.37620265868027,6.30811170492554,"Globigerinoides obliquus"
"669","F5211","F5278",49.2513126457959,48.1054641307133,"Acarinina coalingensis-Acarinina primitiva"
"670","F46990","F46847",7.54099612100516,7.36203721716302,"Globoturborotalita nepenthes"
"671","F86654","N337",17,16.2589333583321,"Trilobatus bisphericus-Trilobatus sicanus-Praeorbulina curva-Praeorbulina glomerosa-Praeorbulina circularis-Orbulina suturalis-Orbulina universa"
"672","F27770","F28005",6.98661135123577,5.19093262713378,"Globoturborotalita occlusa-Globigerina praebulloides-Globigerina bulloides-Globigerina umbilicata-Globigerina falconensis"
"673","F66757","N193bis",30.5,27.3473971904304,"Paragloborotalia semivera-Paragloborotalia siakensis-Globorotalia bella-Paragloborotalia mayeri-Paragloborotalia acrostoma"
"674","F67381","F75446",38.0386305047509,37.0260089322022,"Parasubbotina hagni-Subbotina corpulenta"
"675","F60344","F60507",6.15093841947615,5.92795016919008,"Neogloboquadrina incompta-Neogloboquadrina pachyderma"
"676","F26496","F26659",61.5918588103787,61.43763723701,"Globanomalina planocompressa-Globanomalina imitata-Globanomalina ovalis"
"677","F60270","F60032",0.914490022743819,0.71555314976722,"Neogloboquadrina incompta-Neogloboquadrina pachyderma"
"678","F18742","F18735",19.6936173687655,18.8647907455229,"Dentoglobigerina binaiensis"
"679","F40757","N179",24.1,23.1581121225687,"Globoquadrina dehiscens"
"680","F5178","N125",56.2,54.510033187624,"Acarinina coalingensis-Acarinina primitiva"
"681","F43128","F11644",18.9140809842921,18.8798020853382,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"682","F13143","F12975",42.6809229276507,42.4576220698897,"Globorotaloides suteri-Catapsydrax unicavus"
"683","F23423","F22517",27.9071864420082,25.4813826706517,"Dentoglobigerina prasaepis-Dentoglobigerina venezuelana-Globoquadrina conglomerata"
"684","F79258","F79303",47.4870656865486,45.877654393313,"Subbotina roesnaesensis-Globigerina officinalis"
"685","F86118","F87740",8.6280260348887,8.34294437958626,"Trilobatus sacculifer-Trilobatus praeimmaturus-Trilobatus subsacculifer"
"686","F75758","N264",49.55,49.0694474080075,"Subbotina eocaena"
"687","F2951","F2969",50.2694780240906,49.2297002332937,"Acarinina angulosa-Acarinina cuneicamerata"
"688","F37238","F37135",5.66059569178092,4.53544626511521,"Globigerinoides obliquus"
"689","F81841","N305",58.7,58.1717517989315,"Subbotina velascoensis"
"690","F15677","F15670",26.862631331475,25.4655120416805,"Ciperoella angulisuturalis"
"691","F41275","F41250",18.5724303647679,17.472765621031,"Globoquadrina dehiscens"
"692","F90425","F90205",39.3405096298009,38.030204879053,"Turborotalia pomeroli-Turborotalia increbescens-Turborotalia cerroazulensis"
"693","F75913","F76195",44.3228012415021,43.4449543989089,"Subbotina eocaena"
"694","F59108","F59339",0.307241196846452,0.113347515719943,"Neogloboquadrina atlantica-Neogloboquadrina humerosa-Neogloboquadrina dutertrei"
"695","F71436","N5",55.88,53.974871260565,"Globanomalina ovalis-Globanomalina luxorensis-Pseudohastigerina wilcoxensis"
"696","F49565","N47",8.2,5.45336850882032,"Globorotalia praemargaritae-Globorotalia primitiva-Globorotalia evoluta-Globorotalia margaritae"
"697","F31529","N300",3.8,1.73704497741535,"Globigerinella calida"
"698","F59945","F59775",0.440430872426368,0.38722869977355,"Neogloboquadrina incompta-Neogloboquadrina pachyderma"
"699","F47749","N349",2,0.0928473535459489,"Globigerinoides tenellus"
"700","F79821","F79353",43.3909399359277,42.060929493015,"Subbotina senni"
"701","F31183","N244",43.75,43.163063265291,"Globigerinatheka subconglobata"
"702","F86857","F87773",7.48127472250489,7.25732339735815,"Trilobatus sacculifer-Trilobatus praeimmaturus-Trilobatus subsacculifer"
"703","F87740","F85332",8.75650008363546,8.6280260348887,"Trilobatus sacculifer-Trilobatus praeimmaturus-Trilobatus subsacculifer"
"704","F42410","F42417",4.49855461703613,3.88537445171503,"Globorotalia tumida-Globorotalia flexuosa"
"705","F29108","F29150",42.874545111041,40.007972167335,"Subbotina roesnaesensis-Globigerina officinalis"
"706","F67569","N186",55.5,54.9712740043238,"Parasubbotina inaequispira"
"707","F23223","F22887",22.625377816637,21.7169049341883,"Dentoglobigerina prasaepis-Dentoglobigerina venezuelana-Globoquadrina conglomerata"
"708","F5703","F5211",48.1054641307133,47.0671563639675,"Acarinina coalingensis-Acarinina primitiva"
"709","F35507","F35577",20.679947018069,20.1630857498345,"Globigerinoides altiaperturus-Globigerinoides obliquus"
"710","F57967","F58179",40.6723038450605,39.9788543086778,"Morozovelloides coronatus-Morozovelloides crassatus"
"711","F2969","F3058",50.6626158817641,50.2694780240906,"Acarinina angulosa-Acarinina cuneicamerata"
"712","F90253","N15",40,39.8906437910718,"Turborotalia pomeroli-Turborotalia increbescens-Turborotalia cerroazulensis"
"713","F81312","N259",63.7,62.2150975317283,"Subbotina trivialis"
"714","F47809","F48321",20.3190401312277,17.7835102268052,"Globoturborotalita woodi"
"715","F74532","F74386",35.2424803529377,34.101961929392,"Subbotina minima-Subbotina angiporoides"
"716","F90205","F90253",39.8906437910718,39.3405096298009,"Turborotalia pomeroli-Turborotalia increbescens-Turborotalia cerroazulensis"
"717","F1866","F5178",54.510033187624,53.4385918480018,"Acarinina coalingensis-Acarinina primitiva"
