"","Lineage code","Ancestor code","Start date","End date","Species in lineage"
"1","N1",NA,70.6,69.2,"Muricohedbergella holmdelensis"
"2","N101","F54108",60.2448872245755,60.2,"Morozovella praeangulata-Morozovella angulata"
"3","N102","F8210",56.4844929314047,56.2,"Acarinina subsphaerica"
"4","N103","F7154",55.7317369145411,55.7,"Acarinina mckannai-Acarinina soldadoensis"
"5","N104","N103",55.7,55.45,"Acarinina esnehensis"
"6","N106","N104",55.45,55.4,"Acarinina sibaiyaensis"
"7","N109","F7854",52.6894306967524,52.6,"Acarinina soldadoensis"
"8","N110","F4467",50.5075673348131,49.55,"Acarinina interposita-Acarinina pentacamerata"
"9","N112","F2881",41.9630003662241,41.6,"Acarinina pentacamerata-Acarinina collactea"
"10","N115","F7237",51.6484570535319,51.6,"Acarinina soldadoensis"
"11","N117","F7924",50.8303798965039,50.8,"Acarinina soldadoensis"
"12","N119","F115",43.9808576924703,43.2,"Acarinina alticonica-Acarinina pseudosubsphaerica"
"13","N122","F50231",2.62117954522837,2,"Globorotalia scitula"
"14","N125","F4159",57.2383100954397,56.2,"Acarinina nitida"
"15","N126","F5041",39.5011067241652,39,"Acarinina coalingensis-Acarinina primitiva"
"16","N128","F3321",55.1173241476645,54.6,"Acarinina esnaensis-Acarinina wilcoxensis"
"17","N13","F25800",48.9583543692529,48.7,"Globanomalina australiformis"
"18","N130","F6526",54.0026334230208,53.2,"Acarinina pseudotopilensis"
"19","N131","F6158",47.6349450244941,47.25,"Acarinina pseudotopilensis"
"20","N133","F905",44.6718520527962,44.65,"Acarinina boudreauxi-Acarinina bullbrooki"
"21","N136","F4747",45.0593564362917,45,"Acarinina praetopilensis-Acarinina mcgowrani"
"22","N137","F57883",44.5919464461738,44.5,"Morozovelloides bandyi-Morozovelloides coronatus-Morozovelloides crassatus"
"23","N139","F58026",44.0948632989009,44,"Morozovelloides bandyi-Morozovelloides coronatus-Morozovelloides crassatus"
"24","N142","F4872",44.5002730096225,44.35,"Acarinina praetopilensis"
"25","N144","F8662",41.7517420276022,41.7,"Acarinina praetopilensis-Acarinina topilensis"
"26","N145","F8546",41.5790686945152,41,"Acarinina topilensis"
"27","N149","F19180",37.5007708329012,37.2,"Dentoglobigerina galavisi"
"28","N15","F89429",40.0629337275936,40,"Turborotalia frontosa-Turborotalia possagnoensis-Turborotalia pomeroli-Turborotalia cerroazulensis-Turborotalia altispiroides"
