"","Lineage code","Ancestor code","Start date","End date","Species in lineage"
"178","N88","F56843",54.797071193075,54.5,"Morozovella subbotinae"
"179","N89","N88",54.5,54.1,"Morozovella subbotinae"
"180","N90","N89",54.1,54,"Morozovella subbotinae"
"181","N94","F56059",53.804568059193,52.4,"Morozovella lensiformis"
"182","N98","F55216",47.4336748567806,47.19,"Morozovella crater"
"183","N99","N76",60.8,59.4,"Acarinina strabocella-Acarinina nitida"
"184","N998","N201",30.4,26.3,"Globorotaloides eovariabilis"
"185","T10","F71303",33.595829417489,32,"Pseudohastigerina naguewichiensis"
"186","T100","N102",56.2,54.2,"Acarinina subsphaerica"
"187","T105","N104",55.45,50.4,"Acarinina esnehensis"
"188","T107","N106",55.4,55.3,"Acarinina sibaiyaensis"
"189","T108","N106",55.4,55.3,"Acarinina africana"
"190","T11","F27166",56.8654405019386,55.9,"Globanomalina pseudomenardii"
"191","T111","N110",49.55,48.7,"Acarinina aspensis"
"192","T113","F2400",35.7023201952525,30.3,"Acarinina collactea"
"193","T114","F3934",38.9754884162837,35.8,"Acarinina medizzai"
"194","T116","F393",47.0499862441889,44,"Acarinina angulosa-Acarinina cuneicamerata"
"195","T118","F7490",48.3747194938683,46.4,"Acarinina soldadoensis"
"196","T12","F26954",46.2198299399286,45.2,"Globanomalina chapmani-Globanomalina planoconica-Planoglobanomalina pseudoalgeriana"
"197","T120","N119",43.2,42.3,"Acarinina pseudosubsphaerica"
"198","T121","F3119",33.8246053580381,31.8,"Acarinina echinata"
"199","T123","F50020",1.8428457017988,0,"Globorotalia scitula"
"200","T124","F50020",1.8428457017988,0,"Globorotalia scitula"
"201","T127","N126",39,38.8,"Acarinina primitiva"
"202","T129","N128",54.6,50.9,"Acarinina esnaensis-Acarinina wilcoxensis"
"203","T132","F6718",51.6523113771947,50.4,"Acarinina quetra"
"204","T134","F6649",43.3052422946545,40.5,"Acarinina punctocarinata"
"205","T135","F1636",41.7503769700995,40.5,"Acarinina boudreauxi-Acarinina bullbrooki"
"206","T138","N137",44.5,40.1,"Morozovelloides lehneri"
"207","T14","F25535",45.2912700960552,43.8,"Globanomalina australiformis"
"208","T140","N142",44.35,38,"Acarinina mcgowrani"
"209","T141","N139",44,42.3,"Morozovelloides bandyi"
"210","T143","F58074",39.0872283067857,38,"Morozovelloides coronatus-Morozovelloides crassatus"
"211","T146","N145",41,40.3,"Acarinina topilensis"
"212","T147","F6825",38.6837536495621,38.2,"Acarinina rohri"
"213","T148","F4782",40.4382136690197,40.3,"Acarinina praetopilensis"
"214","T153","N151",22,21.5,"Paragloborotalia kugleri"
"215","T154","F25460",12.6702433498437,11.9,"Fohsella fohsi-Fohsella lobata-Fohsella robusta"
"216","T155","F24726",9.12741086695483,6.7,"Fohsella paralenguaensis-Fohsella lenguaensis"
"217","T158","F59163",0.927352883461791,0,"Neogloboquadrina atlantica-Neogloboquadrina humerosa-Neogloboquadrina dutertrei"
"218","T159","F60613",0.313631008153316,0,"Neogloboquadrina incompta-Neogloboquadrina pachyderma"
"219","T16","N15",40,37.2,"Turborotalia altispiroides"
"220","T161","F58462",3.56432590230185,1.7,"Neogloboquadrina acostaensis"
"221","T162","F71630",0.218849464174155,0,"Pulleniatina primalis-Pulleniatina praecursor-Pulleniatina obliquiloculata"
"222","T164","F20337",29.3501313595846,27.4,"Dentoglobigerina pseudovenezuelana"
"223","T167","F21006",29.487816238876,25.5,"Dentoglobigerina tapuriensis"
"224","T169","F20658",24.8195103741969,24.1,"Dentoglobigerina sellii"
"225","T170","F18635",19.7738681689533,18.8,"Dentoglobigerina binaiensis"
"226","T173","F21564",24.4757963444153,24.3,"Dentoglobigerina tripartita"
"227","T174","F40231",0.17487586462358,0,"Dentoglobigerina prasaepis-Dentoglobigerina venezuelana-Globoquadrina conglomerata"
"228","T176","F16659",4.13445379263535,3,"Dentoglobigerina globularis-Dentoglobigerina globosa-Dentoglobigerina altispira"
"229","T178","F18316",6.52507003566716,3.3,"Dentoglobigerina baroemoenensis"
"230","T180","F20075",13.4897955460218,11.2,"Dentoglobigerina larmeui"
"231","T181","F41109",6.10468864008086,4.8,"Globoquadrina dehiscens"
"232","T183","N182",62.3,59.7,"Parasubbotina pseudobulloides"
"233","T185","N184",60.5,59.3,"Parasubbotina variospira"
"234","T189","F68393",46.2106053726468,40.5,"Parasubbotina varianta-Parasubbotina pseudowilsoni"
"235","T19","N18",34.5,33.8,"Turborotalia cerroazulensis"
"236","T192","N191",46.15,33.7,"Paragloborotalia griffinoides"
"237","T194","F66646",11.4220744656541,11.4,"Paragloborotalia semivera-Paragloborotalia siakensis-Globorotalia bella-Paragloborotalia mayeri-Paragloborotalia acrostoma"
"238","T196","F65573",27.7462569885422,27.1,"Paragloborotalia opima"
